structure,pred_prob,pred_class
gen_42,0.9980197,1
gen_50,0.92962563,1
gen_10,0.9972742,1
gen_4,0.9932059,1
gen_36,0.9999821,1
gen_20,0.99958354,1
gen_59,0.9713339,1
gen_49,0.9998443,1
gen_27,0.9993767,1
gen_54,0.9741037,1
gen_33,0.9987196,1
gen_2,0.9997061,1
gen_35,0.9995757,1
gen_57,0.99957615,1
gen_28,0.99975365,1
gen_32,0.9992988,1
gen_11,0.99853265,1
gen_60,0.99909735,1
gen_1,0.92984664,1
gen_46,0.9978017,1
gen_39,0.9999937,1
gen_43,0.99928683,1
gen_63,0.99979013,1
gen_48,0.9985285,1
gen_74,0.9970187,1
gen_61,0.99976856,1
gen_55,0.9996424,1
gen_69,0.99853873,1
gen_70,0.9992567,1
gen_73,0.92995304,1
gen_29,0.9960389,1
gen_68,0.99975246,1
gen_58,0.932604,1
gen_77,0.999944,1
gen_14,0.9999305,1
gen_45,0.9999243,1
gen_26,0.99957484,1
gen_23,0.99661094,1
gen_25,0.998544,1
gen_37,0.9998568,1
gen_3,0.96842915,1
gen_18,0.9999931,1
gen_62,0.99981874,1
gen_17,0.9997322,1
gen_30,0.9999987,1
gen_64,0.9995701,1
gen_22,0.9993255,1
gen_66,0.99978334,1
gen_13,0.99957174,1
gen_79,0.9995771,1
gen_71,0.9985856,1
gen_19,0.99590945,1
gen_5,0.9999945,1
gen_0,0.997152,1
gen_34,0.98433083,1
gen_16,0.99933714,1
gen_65,0.99935764,1
gen_41,0.9995659,1
gen_72,0.99989235,1
gen_67,0.9988512,1
gen_6,0.99957734,1
gen_78,0.99786526,1
gen_53,0.99957687,1
gen_7,0.99975735,1
gen_38,0.9999987,1
gen_52,0.96282464,1
gen_75,0.9998987,1
gen_24,0.9560675,1
gen_15,0.999902,1
gen_51,0.93316877,1
gen_8,0.9949058,1
gen_12,0.9960454,1
gen_56,0.9998281,1
gen_44,0.9999554,1
gen_76,0.9985216,1
gen_47,0.9849781,1
gen_40,0.99999976,1
gen_9,0.999951,1
gen_21,0.99995637,1
gen_31,0.9991242,1
